stride_bytes,dram_metric,dram_throughput_pct,dram_bandwidth_gbps,ncu_log_csv
8,dram__throughput.avg.pct_of_peak_sustained_elapsed,11.61000000,180.53550000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_8.14510238.csv
16,dram__throughput.avg.pct_of_peak_sustained_elapsed,19.39000000,301.51450000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_16.14510238.csv
32,dram__throughput.avg.pct_of_peak_sustained_elapsed,34.26000000,532.74300000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_32.14510238.csv
64,dram__throughput.avg.pct_of_peak_sustained_elapsed,49.49000000,769.56950000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_64.14510238.csv
128,dram__throughput.avg.pct_of_peak_sustained_elapsed,48.56000000,755.10800000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_128.14510238.csv
256,dram__throughput.avg.pct_of_peak_sustained_elapsed,47.40000000,737.07000000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_256.14510238.csv
512,dram__throughput.avg.pct_of_peak_sustained_elapsed,46.43000000,721.98650000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_512.14510238.csv
1024,dram__throughput.avg.pct_of_peak_sustained_elapsed,35.31000000,549.07050000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_1024.14510238.csv
2048,dram__throughput.avg.pct_of_peak_sustained_elapsed,35.42000000,550.78100000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_2048.14510238.csv
4096,dram__throughput.avg.pct_of_peak_sustained_elapsed,33.22000000,516.57100000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_4096.14510238.csv
8192,dram__throughput.avg.pct_of_peak_sustained_elapsed,31.73000000,493.40150000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_8192.14510238.csv
