stride_bytes,dram_metric,dram_throughput_pct,dram_bandwidth_gbps,ncu_log_csv
8,dram__throughput.avg.pct_of_peak_sustained_elapsed,27.13000000,421.87150000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_8.csv
16,dram__throughput.avg.pct_of_peak_sustained_elapsed,47.29000000,735.35950000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_16.csv
32,dram__throughput.avg.pct_of_peak_sustained_elapsed,64.54000000,1003.59700000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_32.csv
64,dram__throughput.avg.pct_of_peak_sustained_elapsed,77.36000000,1202.94800000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_64.csv
128,dram__throughput.avg.pct_of_peak_sustained_elapsed,75.27000000,1170.44850000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_128.csv
256,dram__throughput.avg.pct_of_peak_sustained_elapsed,69.79000000,1085.23450000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_256.csv
512,dram__throughput.avg.pct_of_peak_sustained_elapsed,68.74000000,1068.90700000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_512.csv
1024,dram__throughput.avg.pct_of_peak_sustained_elapsed,47.62000000,740.49100000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_1024.csv
2048,dram__throughput.avg.pct_of_peak_sustained_elapsed,47.12000000,732.71600000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_2048.csv
4096,dram__throughput.avg.pct_of_peak_sustained_elapsed,46.57000000,724.16350000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_4096.csv
8192,dram__throughput.avg.pct_of_peak_sustained_elapsed,45.87000000,713.27850000,/p/home/jusers/sinkin1/jureca/Master-Thesis/code/profiling/phenomena/results/08_hbm_stride_ncu_stride_8192.csv
