device,sm_count,threads_per_block,blocks,total_threads,warmup_runs,target_launches_per_run,launches_per_run_used,stride_bytes,stride_elements,run_idx,kernel_ms,read_bytes,achieved_bandwidth_gbps
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,0,0.05632,7962624,141.382
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,1,0.047104,7962624,169.043
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,2,0.045056,7962624,176.727
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,3,0.04608,7962624,172.8
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,4,0.045056,7962624,176.727
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,5,0.047104,7962624,169.043
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,6,0.047104,7962624,169.043
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,7,0.04608,7962624,172.8
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,8,0.04608,7962624,172.8
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,9,0.04608,7962624,172.8
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,10,0.04608,7962624,172.8
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,11,0.04608,7962624,172.8
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,12,0.04608,7962624,172.8
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,13,0.047104,7962624,169.043
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,14,0.04608,7962624,172.8
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,15,0.04608,7962624,172.8
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,16,0.04608,7962624,172.8
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,17,0.04608,7962624,172.8
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,18,0.045056,7962624,176.727
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,8,1,19,0.045056,7962624,176.727
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,16,2,0,0.052224,7962624,152.471
"NVIDIA A100-SXM4-40GB",108,256,432,110592,5,64,9,16,2,1,0.0512,7962624,155.52
