device,sm_count,threads_per_block,blocks,total_threads,loads_per_thread,warmup_runs,stride_bytes,stride_elements,run_idx,kernel_ms,read_bytes,achieved_bandwidth_gbps
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,0,10.0717,57982058496,5756.94
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,1,10.0702,57982058496,5757.8
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,2,10.0674,57982058496,5759.41
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,3,10.0742,57982058496,5755.5
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,4,8.4233,57982058496,6883.54
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,5,8.08861,57982058496,7168.36
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,6,8.0703,57982058496,7184.62
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,7,8.09155,57982058496,7165.75
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,8,8.08003,57982058496,7175.97
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8,1,9,8.08141,57982058496,7174.75
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,0,8.26928,57982058496,7011.74
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,1,8.28262,57982058496,7000.45
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,2,8.29584,57982058496,6989.29
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,3,8.26749,57982058496,7013.26
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,4,8.24653,57982058496,7031.09
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,5,8.30586,57982058496,6980.87
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,6,8.42867,57982058496,6879.15
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,7,8.27126,57982058496,7010.06
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,8,8.30963,57982058496,6977.69
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,16,2,9,8.39002,57982058496,6910.84
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,0,13.8155,57982058496,4196.89
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,1,13.5267,57982058496,4286.49
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,2,13.3676,57982058496,4337.49
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,3,13.4187,57982058496,4320.98
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,4,13.4361,57982058496,4315.38
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,5,13.4349,57982058496,4315.76
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,6,13.4238,57982058496,4319.33
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,7,13.4457,57982058496,4312.3
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,8,13.447,57982058496,4311.9
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,32,4,9,13.3525,57982058496,4342.4
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,0,25.5828,57982058496,2266.45
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,1,25.5101,57982058496,2272.9
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,2,25.4393,57982058496,2279.23
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,3,25.4793,57982058496,2275.65
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,4,25.4254,57982058496,2280.48
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,5,25.4786,57982058496,2275.72
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,6,25.5093,57982058496,2272.98
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,7,25.4848,57982058496,2275.16
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,8,25.4616,57982058496,2277.24
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,64,8,9,25.5506,57982058496,2269.3
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,0,58.2425,57982058496,995.528
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,1,58.6731,57982058496,988.222
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,2,58.4023,57982058496,992.804
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,3,57.9785,57982058496,1000.06
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,4,58.9254,57982058496,983.991
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,5,58.2702,57982058496,995.055
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,6,58.7204,57982058496,987.427
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,7,58.1742,57982058496,996.697
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,8,58.0904,57982058496,998.135
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,128,16,9,58.5619,57982058496,990.099
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,0,58.49,57982058496,991.315
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,1,59.2692,57982058496,978.283
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,2,61.4644,57982058496,943.344
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,3,60.6657,57982058496,955.764
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,4,58.023,57982058496,999.294
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,5,59.9677,57982058496,966.887
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,6,60.6624,57982058496,955.816
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,7,58.3913,57982058496,992.992
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,8,62.2002,57982058496,932.185
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,256,32,9,60.3894,57982058496,960.136
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,0,61.5853,57982058496,941.492
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,1,63.1827,57982058496,917.689
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,2,63.2415,57982058496,916.836
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,3,61.4061,57982058496,944.239
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,4,61.1463,57982058496,948.251
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,5,62.961,57982058496,920.92
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,6,63.3281,57982058496,915.582
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,7,64.2138,57982058496,902.953
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,8,61.0246,57982058496,950.143
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,512,64,9,61.5111,57982058496,942.628
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,0,67.9205,57982058496,853.676
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,1,70.9134,57982058496,817.646
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,2,68.6379,57982058496,844.753
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,3,70.6216,57982058496,821.024
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,4,70.602,57982058496,821.253
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,5,67.9895,57982058496,852.809
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,6,65.5985,57982058496,883.893
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,7,69.891,57982058496,829.607
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,8,69.0596,57982058496,839.594
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,1024,128,9,66.9848,57982058496,865.601
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,0,64.1437,57982058496,903.94
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,1,71.4718,57982058496,811.258
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,2,71.2444,57982058496,813.847
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,3,73.4107,57982058496,789.831
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,4,68.7059,57982058496,843.917
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,5,73.5195,57982058496,788.663
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,6,71.2431,57982058496,813.862
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,7,71.54,57982058496,810.485
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,8,66.4389,57982058496,872.713
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,2048,256,9,70.2809,57982058496,825.005
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,0,67.3257,57982058496,861.218
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,1,68.7365,57982058496,843.541
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,2,71.9559,57982058496,805.8
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,3,68.1122,57982058496,851.272
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,4,65.3444,57982058496,887.33
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,5,69.1534,57982058496,838.456
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,6,65.9308,57982058496,879.437
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,7,68.28,57982058496,849.181
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,8,65.9904,57982058496,878.644
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,4096,512,9,69.5913,57982058496,833.179
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,0,68.3484,57982058496,848.33
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,1,68.7371,57982058496,843.534
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,2,67.4359,57982058496,859.81
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,3,68.6159,57982058496,845.023
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,4,68.5547,57982058496,845.779
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,5,73.2708,57982058496,791.34
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,6,68.8607,57982058496,842.02
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,7,68.9515,57982058496,840.91
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,8,69.1058,57982058496,839.034
"NVIDIA A100-SXM4-40GB",108,256,3456,884736,8192,5,8192,1024,9,65.4147,57982058496,886.376
