device,sm_count,threads_per_block,blocks,total_threads,warmup_runs,target_launches_per_run,launches_per_run_used,stride_bytes,stride_elements,run_idx,kernel_ms,read_bytes,achieved_bandwidth_gbps
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,0,0.022528,7077888,314.182
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,1,0.018432,7077888,384
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,2,0.019456,7077888,363.789
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,3,0.018432,7077888,384
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,4,0.018432,7077888,384
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,5,0.019456,7077888,363.789
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,6,0.019456,7077888,363.789
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,7,0.018432,7077888,384
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,8,0.018432,7077888,384
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,9,0.019456,7077888,363.789
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,10,0.019456,7077888,363.789
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,11,0.018432,7077888,384
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,12,0.018432,7077888,384
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,13,0.019456,7077888,363.789
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,14,0.019456,7077888,363.789
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,15,0.019456,7077888,363.789
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,16,0.018432,7077888,384
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,17,0.018432,7077888,384
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,18,0.018432,7077888,384
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,8,1,19,0.018432,7077888,384
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,0,0.021504,7077888,329.143
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,1,0.021504,7077888,329.143
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,2,0.021504,7077888,329.143
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,3,0.022528,7077888,314.182
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,4,0.022528,7077888,314.182
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,5,0.022528,7077888,314.182
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,6,0.022528,7077888,314.182
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,7,0.022528,7077888,314.182
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,8,0.021504,7077888,329.143
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,9,0.021504,7077888,329.143
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,10,0.021504,7077888,329.143
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,11,0.021504,7077888,329.143
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,12,0.022528,7077888,314.182
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,13,0.022528,7077888,314.182
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,14,0.022528,7077888,314.182
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,15,0.022528,7077888,314.182
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,16,0.022528,7077888,314.182
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,17,0.022528,7077888,314.182
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,18,0.021504,7077888,329.143
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,16,2,19,0.021504,7077888,329.143
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,0,0.031744,7077888,222.968
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,1,0.031744,7077888,222.968
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,2,0.03072,7077888,230.4
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,3,0.029696,7077888,238.345
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,4,0.03072,7077888,230.4
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,5,0.03072,7077888,230.4
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,6,0.031744,7077888,222.968
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,7,0.03072,7077888,230.4
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,8,0.031744,7077888,222.968
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,9,0.03072,7077888,230.4
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,10,0.03072,7077888,230.4
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,11,0.031744,7077888,222.968
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,12,0.03072,7077888,230.4
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,13,0.03072,7077888,230.4
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,14,0.031744,7077888,222.968
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,15,0.031744,7077888,222.968
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,16,0.031744,7077888,222.968
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,17,0.031744,7077888,222.968
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,18,0.03072,7077888,230.4
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,32,4,19,0.03072,7077888,230.4
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,0,0.059392,7077888,119.172
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,1,0.059392,7077888,119.172
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,2,0.057344,7077888,123.429
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,3,0.059392,7077888,119.172
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,4,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,5,0.05632,7077888,125.673
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,6,0.059392,7077888,119.172
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,7,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,8,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,9,0.060416,7077888,117.153
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,10,0.059392,7077888,119.172
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,11,0.059392,7077888,119.172
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,12,0.057344,7077888,123.429
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,13,0.060416,7077888,117.153
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,14,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,15,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,16,0.057344,7077888,123.429
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,17,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,18,0.057344,7077888,123.429
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,64,8,19,0.060416,7077888,117.153
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,0,0.059392,7077888,119.172
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,1,0.059392,7077888,119.172
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,2,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,3,0.059392,7077888,119.172
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,4,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,5,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,6,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,7,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,8,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,9,0.057344,7077888,123.429
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,10,0.059392,7077888,119.172
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,11,0.059392,7077888,119.172
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,12,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,13,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,14,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,15,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,16,0.059392,7077888,119.172
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,17,0.059392,7077888,119.172
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,18,0.058368,7077888,121.263
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,128,16,19,0.057344,7077888,123.429
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,0,0.062464,7077888,113.311
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,1,0.06144,7077888,115.2
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,2,0.06144,7077888,115.2
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,3,0.06144,7077888,115.2
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,4,0.06144,7077888,115.2
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,5,0.060416,7077888,117.153
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,6,0.060416,7077888,117.153
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,7,0.06144,7077888,115.2
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,8,0.060416,7077888,117.153
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,9,0.062464,7077888,113.311
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,10,0.060416,7077888,117.153
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,11,0.06144,7077888,115.2
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,12,0.06144,7077888,115.2
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,13,0.060416,7077888,117.153
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,14,0.06144,7077888,115.2
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,15,0.06144,7077888,115.2
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,16,0.06144,7077888,115.2
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,17,0.06144,7077888,115.2
"NVIDIA A100-SXM4-40GB",108,128,3456,442368,5,64,2,256,32,18,0.06144,7077888,115.2
