timestamp,index,power_draw_w,utilization_gpu_pct,clocks_sm_mhz,clocks_mem_mhz
2026/02/23 16:18:52.289, 0, 83.97, 0, 1410, 1215
2026/02/23 16:18:52.292, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:52.298, 2, 57.34, 0, 210, 1215
2026/02/23 16:18:52.304, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:52.360, 0, 83.97, 0, 1410, 1215
2026/02/23 16:18:52.360, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:52.360, 2, 57.34, 0, 210, 1215
2026/02/23 16:18:52.360, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:52.410, 0, 83.97, 0, 1410, 1215
2026/02/23 16:18:52.410, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:52.410, 2, 57.34, 0, 210, 1215
2026/02/23 16:18:52.410, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:52.460, 0, 83.97, 0, 1410, 1215
2026/02/23 16:18:52.460, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:52.461, 2, 57.34, 0, 210, 1215
2026/02/23 16:18:52.461, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:52.511, 0, 83.97, 0, 1410, 1215
2026/02/23 16:18:52.511, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:52.511, 2, 57.40, 0, 210, 1215
2026/02/23 16:18:52.511, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:52.561, 0, 83.69, 0, 1410, 1215
2026/02/23 16:18:52.561, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:52.562, 2, 57.40, 0, 210, 1215
2026/02/23 16:18:52.562, 3, 55.47, 0, 210, 1215
2026/02/23 16:18:52.612, 0, 83.69, 0, 1410, 1215
2026/02/23 16:18:52.612, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:52.612, 2, 57.40, 0, 210, 1215
2026/02/23 16:18:52.612, 3, 55.74, 0, 210, 1215
2026/02/23 16:18:52.662, 0, 83.69, 0, 1410, 1215
2026/02/23 16:18:52.662, 1, 55.08, 0, 210, 1215
2026/02/23 16:18:52.662, 2, 57.40, 0, 210, 1215
2026/02/23 16:18:52.663, 3, 55.74, 0, 210, 1215
2026/02/23 16:18:52.713, 0, 83.69, 0, 1410, 1215
