────────────────────────────────────────────────────────────────────────────────────
                                           Time                    Allocations      
                                  ───────────────────────   ────────────────────────
        Tot / % measured:              270ms /  29.3%            189MiB /  98.4%    

Section                   ncalls     time    %tot     avg     alloc    %tot      avg
────────────────────────────────────────────────────────────────────────────────────
compact_Oks_and_Eks            1   76.0ms   95.9%  76.0ms    178MiB   95.4%   178MiB
  sampling                    16   39.8ms   50.2%  2.49ms   97.2MiB   52.1%  6.08MiB
    env_sample                64   18.1ms   22.8%   282μs   47.8MiB   25.6%   765KiB
    env_top                   48   10.2ms   12.9%   213μs   27.5MiB   14.7%   586KiB
    env_row                   64   1.54ms    1.9%  24.1μs   3.46MiB    1.9%  55.3KiB
  energy                      16   13.1ms   16.5%   816μs   25.2MiB   13.5%  1.57MiB
    fourbody_envs             16   5.26ms    6.6%   329μs   12.4MiB    6.6%   791KiB
    fourbody                  16   3.66ms    4.6%   229μs   6.22MiB    3.3%   398KiB
    horizontal                16   3.32ms    4.2%   208μs   6.18MiB    3.3%   396KiB
  vertical_envs               16   12.6ms   15.8%   785μs   33.4MiB   17.9%  2.09MiB
  horizontal_envs             16   4.00ms    5.0%   250μs   8.80MiB    4.7%   563KiB
  compact_log_gradients       16   3.85ms    4.9%   241μs   7.73MiB    4.1%   495KiB
  precomp_sHψ_elems           16   2.70ms    3.4%   169μs   5.52MiB    3.0%   354KiB
double_layer_envs              1   3.07ms    3.9%  3.07ms   8.36MiB    4.5%  8.36MiB
direct_solve                   1   64.1μs    0.1%  64.1μs   19.2KiB    0.0%  19.2KiB
direct_T                       1   56.3μs    0.1%  56.3μs    117KiB    0.1%   117KiB
direct_mean                    1   19.8μs    0.0%  19.8μs   10.2KiB    0.0%  10.2KiB
direct_theta_dot               1   9.08μs    0.0%  9.08μs   10.4KiB    0.0%  10.4KiB
────────────────────────────────────────────────────────────────────────────────────
