────────────────────────────────────────────────────────────────────────────────────
                                           Time                    Allocations      
                                  ───────────────────────   ────────────────────────
        Tot / % measured:              1.35s /  53.7%            235MiB /  63.5%    

Section                   ncalls     time    %tot     avg     alloc    %tot      avg
────────────────────────────────────────────────────────────────────────────────────
compact_Oks_and_Eks            1    518ms   71.4%   518ms    126MiB   84.1%   126MiB
  compact_log_gradients        8    391ms   53.9%  48.9ms   33.9MiB   22.7%  4.24MiB
  sampling                     8   20.3ms    2.8%  2.54ms   48.6MiB   32.5%  6.07MiB
    env_sample                32   9.14ms    1.3%   286μs   23.9MiB   16.0%   763KiB
    env_top                   24   5.01ms    0.7%   209μs   13.7MiB    9.2%   587KiB
    env_row                   32    869μs    0.1%  27.1μs   1.72MiB    1.2%  55.1KiB
  energy                       8   6.59ms    0.9%   823μs   12.6MiB    8.4%  1.58MiB
    fourbody_envs              8   2.52ms    0.3%   315μs   6.18MiB    4.1%   792KiB
    fourbody                   8   1.89ms    0.3%   236μs   3.16MiB    2.1%   404KiB
    horizontal                 8   1.66ms    0.2%   208μs   3.05MiB    2.0%   390KiB
  vertical_envs                8   5.90ms    0.8%   737μs   16.7MiB   11.2%  2.09MiB
  horizontal_envs              8   1.97ms    0.3%   247μs   4.40MiB    2.9%   564KiB
  precomp_sHψ_elems            8   1.47ms    0.2%   184μs   2.76MiB    1.9%   354KiB
direct_T                       1    136ms   18.7%   136ms   11.4MiB    7.6%  11.4MiB
direct_theta_dot               1   48.9ms    6.7%  48.9ms   2.56MiB    1.7%  2.56MiB
direct_mean                    1   19.2ms    2.6%  19.2ms   1.44MiB    1.0%  1.44MiB
double_layer_envs              1   3.26ms    0.4%  3.26ms   8.36MiB    5.6%  8.36MiB
direct_solve                   1   91.1μs    0.0%  91.1μs   9.73KiB    0.0%  9.73KiB
────────────────────────────────────────────────────────────────────────────────────
