────────────────────────────────────────────────────────────────────────────────────
                                           Time                    Allocations      
                                  ───────────────────────   ────────────────────────
        Tot / % measured:              1.47s /  50.9%            278MiB /  58.4%    

Section                   ncalls     time    %tot     avg     alloc    %tot      avg
────────────────────────────────────────────────────────────────────────────────────
compact_Oks_and_Eks            1    537ms   71.6%   537ms    141MiB   87.0%   141MiB
  compact_log_gradients        8    397ms   52.9%  49.6ms   33.5MiB   20.6%  4.19MiB
  sampling                     8   20.5ms    2.7%  2.56ms   47.5MiB   29.2%  5.94MiB
    env_sample                32   9.05ms    1.2%   283μs   23.2MiB   14.3%   744KiB
    env_top                   24   4.99ms    0.7%   208μs   13.5MiB    8.3%   574KiB
    env_row                   32    847μs    0.1%  26.5μs   1.62MiB    1.0%  51.7KiB
  energy                       8   11.6ms    1.5%  1.45ms   20.4MiB   12.5%  2.55MiB
    fourbody                   8   6.55ms    0.9%   819μs   11.7MiB    7.2%  1.47MiB
    fourbody_envs              8   2.70ms    0.4%   338μs   5.81MiB    3.6%   744KiB
    horizontal                 8   1.59ms    0.2%   199μs   2.49MiB    1.5%   319KiB
  vertical_envs                8   6.06ms    0.8%   758μs   16.6MiB   10.2%  2.08MiB
  precomp_sHψ_elems            8   4.74ms    0.6%   593μs   11.1MiB    6.8%  1.38MiB
  horizontal_envs              8   2.03ms    0.3%   253μs   4.35MiB    2.7%   557KiB
direct_T                       1    135ms   18.0%   135ms   11.7MiB    7.2%  11.7MiB
direct_theta_dot               1   54.0ms    7.2%  54.0ms   2.70MiB    1.7%  2.70MiB
direct_mean                    1   20.9ms    2.8%  20.9ms   1.58MiB    1.0%  1.58MiB
double_layer_envs              1   3.04ms    0.4%  3.04ms   5.14MiB    3.2%  5.14MiB
direct_solve                   1    106μs    0.0%   106μs   16.0KiB    0.0%  16.0KiB
────────────────────────────────────────────────────────────────────────────────────
