────────────────────────────────────────────────────────────────────────────────────
                                           Time                    Allocations      
                                  ───────────────────────   ────────────────────────
        Tot / % measured:              5.68s /  96.2%           11.3GiB /  99.9%    

Section                   ncalls     time    %tot     avg     alloc    %tot      avg
────────────────────────────────────────────────────────────────────────────────────
compact_Oks_and_Eks            1    5.24s   96.0%   5.24s   11.1GiB   98.7%  11.1GiB
  sampling                 1.02k    2.70s   49.5%  2.64ms   6.08GiB   54.0%  6.08MiB
    env_sample             4.10k    1.23s   22.4%   299μs   2.99GiB   26.5%   765KiB
    env_top                3.07k    699ms   12.8%   228μs   1.72GiB   15.3%   586KiB
    env_row                4.10k   97.0ms    1.8%  23.7μs    221MiB    1.9%  55.3KiB
  vertical_envs            1.02k    905ms   16.6%   884μs   2.09GiB   18.6%  2.09MiB
  energy                   1.02k    887ms   16.2%   867μs   1.56GiB   13.9%  1.56MiB
    fourbody_envs          1.02k    354ms    6.5%   346μs    792MiB    6.9%   792KiB
    fourbody               1.02k    247ms    4.5%   241μs    382MiB    3.3%   382KiB
    horizontal             1.02k    230ms    4.2%   225μs    401MiB    3.5%   401KiB
  compact_log_gradients    1.02k    298ms    5.4%   291μs    495MiB    4.3%   495KiB
  horizontal_envs          1.02k    266ms    4.9%   260μs    564MiB    4.9%   564KiB
  precomp_sHψ_elems        1.02k    179ms    3.3%   175μs    353MiB    3.1%   353KiB
direct_solve                   1    179ms    3.3%   179ms   24.6MiB    0.2%  24.6MiB
direct_T                       1   36.9ms    0.7%  36.9ms    112MiB    1.0%   112MiB
double_layer_envs              1   3.05ms    0.1%  3.05ms   8.36MiB    0.1%  8.36MiB
direct_theta_dot               1    715μs    0.0%   715μs   26.2KiB    0.0%  26.2KiB
direct_mean                    1    695μs    0.0%   695μs   10.2KiB    0.0%  10.2KiB
────────────────────────────────────────────────────────────────────────────────────
