────────────────────────────────────────────────────────────────────────────────────
                                           Time                    Allocations      
                                  ───────────────────────   ────────────────────────
        Tot / % measured:              1.42s /  54.0%            230MiB /  65.1%    

Section                   ncalls     time    %tot     avg     alloc    %tot      avg
────────────────────────────────────────────────────────────────────────────────────
compact_Oks_and_Eks            1    549ms   71.5%   549ms    126MiB   84.1%   126MiB
  compact_log_gradients        8    412ms   53.6%  51.5ms   34.0MiB   22.7%  4.24MiB
  sampling                     8   21.7ms    2.8%  2.71ms   48.6MiB   32.4%  6.07MiB
    env_sample                32   9.79ms    1.3%   306μs   23.9MiB   15.9%   763KiB
    env_top                   24   5.36ms    0.7%   223μs   13.7MiB    9.2%   587KiB
    env_row                   32    886μs    0.1%  27.7μs   1.72MiB    1.1%  55.1KiB
  energy                       8   7.10ms    0.9%   888μs   12.6MiB    8.4%  1.58MiB
    fourbody_envs              8   2.78ms    0.4%   347μs   6.18MiB    4.1%   792KiB
    fourbody                   8   1.99ms    0.3%   249μs   3.16MiB    2.1%   404KiB
    horizontal                 8   1.83ms    0.2%   229μs   3.05MiB    2.0%   390KiB
  vertical_envs                8   6.38ms    0.8%   798μs   16.7MiB   11.2%  2.09MiB
  horizontal_envs              8   2.14ms    0.3%   268μs   4.40MiB    2.9%   564KiB
  precomp_sHψ_elems            8   1.51ms    0.2%   189μs   2.76MiB    1.8%   354KiB
direct_T                       1    143ms   18.7%   143ms   11.4MiB    7.6%  11.4MiB
direct_theta_dot               1   51.4ms    6.7%  51.4ms   2.56MiB    1.7%  2.56MiB
direct_mean                    1   20.3ms    2.6%  20.3ms   1.44MiB    1.0%  1.44MiB
double_layer_envs              1   3.52ms    0.5%  3.52ms   8.36MiB    5.6%  8.36MiB
direct_solve                   1    113μs    0.0%   113μs   9.73KiB    0.0%  9.73KiB
────────────────────────────────────────────────────────────────────────────────────
