────────────────────────────────────────────────────────────────────────────────────
                                           Time                    Allocations      
                                  ───────────────────────   ────────────────────────
        Tot / % measured:              892ms /  77.5%           1.33GiB /  99.8%    

Section                   ncalls     time    %tot     avg     alloc    %tot      avg
────────────────────────────────────────────────────────────────────────────────────
compact_Oks_and_Eks            1    686ms   99.3%   686ms   1.32GiB   99.5%  1.32GiB
  sampling                   128    370ms   53.6%  2.89ms    739MiB   54.5%  5.78MiB
    env_sample               512    143ms   20.7%   279μs    361MiB   26.6%   722KiB
    env_top                  384    112ms   16.1%   290μs    211MiB   15.6%   563KiB
    env_row                  512   10.2ms    1.5%  20.0μs   24.5MiB    1.8%  48.9KiB
  energy                     128    116ms   16.8%   906μs    179MiB   13.2%  1.40MiB
    fourbody_envs            128   48.1ms    7.0%   376μs   90.4MiB    6.7%   723KiB
    horizontal               128   32.1ms    4.6%   251μs   43.2MiB    3.2%   345KiB
    fourbody                 128   29.5ms    4.3%   231μs   42.5MiB    3.1%   340KiB
  vertical_envs              128    107ms   15.5%   835μs    260MiB   19.2%  2.03MiB
  horizontal_envs            128   36.4ms    5.3%   284μs   67.9MiB    5.0%   543KiB
  compact_log_gradients      128   35.1ms    5.1%   274μs   58.0MiB    4.3%   464KiB
  precomp_sHψ_elems          128   21.1ms    3.1%   165μs   43.7MiB    3.2%   350KiB
double_layer_envs              1   2.47ms    0.4%  2.47ms   4.90MiB    0.4%  4.90MiB
direct_solve                   1   1.44ms    0.2%  1.44ms    473KiB    0.0%   473KiB
direct_T                       1    558μs    0.1%   558μs   1.84MiB    0.1%  1.84MiB
direct_mean                    1   67.0μs    0.0%  67.0μs   2.56KiB    0.0%  2.56KiB
direct_theta_dot               1   21.5μs    0.0%  21.5μs   4.75KiB    0.0%  4.75KiB
────────────────────────────────────────────────────────────────────────────────────
