 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     2         0 …S/src/Environments.jl   131 get_horizontal_envs!(peps::PEPS, …
     2         0 …uralfPEPS/src/PEPS.jl   325 get_projected
     2         0 @Base/array.jl           801 collect(itr::Base.Generator{UnitR…
     2         0 @Base/array.jl           827 collect_to_with_first!
     2         0 @Base/array.jl           849 collect_to!
     2         0 @Base/generator.jl        48 iterate
     2         0 none                       ? #31
     2         0 …ons/tensor_algebra.jl    61 *
     2         0 …ensors/src/itensor.jl  1343 filter_inds_set_function
     2         0 …ons/tensor_algebra.jl    61 *(A::ITensor, B::ITensor)
     2         0 …S/src/Environments.jl    88 kwcall(::@NamedTuple{env_row_abov…
     2         0 …S/src/Environments.jl    93 #generate_env_row#49
     2         0 …ITensorMPS/src/mpo.jl   629 contract(A::MPO, ψ::MPS; alg::Str…
     2         0 …PEPS/src/Ok_and_Ek.jl    15 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     2         0 …S/src/Environments.jl    50 get_logψ_and_envs
     2         1 …nericEksAndOks/Eks.jl   101 get_precomp_sOψ_elems!(tensor::IT…
     2         0 …fPEPS/src/sampling.jl   142 get_sample(peps::PEPS; mode::Symb…
     2         0 …fPEPS/src/sampling.jl    74 calculate_unsampled_Env_row(ket::…
     2         0 …aturalfPEPS/src/Ek.jl   112 get_4body_term(peps::PEPS, env_to…
     2         1 @Base/tuple.jl            58 setindex
     3         0 …PEPS/src/Ok_and_Ek.jl    16 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     3         0 …S/src/Environments.jl   116 get_all_horizontal_envs
     3         0 …S/src/Environments.jl   116 get_all_horizontal_envs(peps::PEP…
     3         0 …S/src/Environments.jl   119 get_all_horizontal_envs
     3         0 …ensors/src/itensor.jl  1344 filter_inds_set_function(::Functi…
     3         0 …PEPS/src/Ok_and_Ek.jl    20 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     3         0 …nericEksAndOks/Eks.jl   139 kwcall(::@NamedTuple{get_flip_sit…
     3         0 …nericEksAndOks/Eks.jl   146 get_precomp_sOψ_elems(tso::Quantu…
     3         0 …nericEksAndOks/Eks.jl    78 kwcall(::@NamedTuple{sum_precompu…
     3         0 …ensors/src/itensor.jl  1344 #filter_inds_set_function#138
     3         0 …_tensor_operations.jl   219 contract!!(output_tensor::NDTenso…
     3         0 …_tensor_operations.jl   143 _contract!!
     3         0 …oralgebra/contract.jl   194 contract!(R::NDTensors.DenseTenso…
     3         0 …ITensorMPS/src/mpo.jl   614 contract
     3         0 …ITensorMPS/src/mpo.jl   762 contract(::NDTensors.BackendSelec…
     3         0 …trix_decomposition.jl   291 kwcall(::@NamedTuple{ishermitian:…
     3         0 @Base/operators.jl       555 afoldl
     4         0 …uralfPEPS/src/PEPS.jl   287 siteind(peps::PEPS, i::Int64, j::…
     4         0 …_tensor_operations.jl   131 _contract!!
     4         0 …_tensor_operations.jl   165 contract!
     5         0 …aturalfPEPS/src/Ek.jl   110 get_4body_term(peps::PEPS, env_to…
     5         0 …ensors/src/itensor.jl  1360 uniqueind
     5         0 …ensors/src/itensor.jl  1360 uniqueind(::ITensor, ::Vararg{ITe…
     5         0 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     5         0 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     5         1 …ensors/src/itensor.jl  1343 filter_inds_set_function(::Functi…
     5         0 …_tensor_operations.jl   113 contract(tensor1::NDTensors.Dense…
     5         0 …_tensor_operations.jl   188 contract!!
     5         0 …ons/tensor_algebra.jl   178 *
     5         0 …ons/tensor_algebra.jl   178 #*#219
     5         0 …ons/tensor_algebra.jl   168 contract
     5         0 …ons/tensor_algebra.jl   168 #contract#217
     5         0 …ons/tensor_algebra.jl   154 contract
     5         0 …ons/tensor_algebra.jl   158 contract(As::NTuple{5, ITensor}; …
     5         0 @Base/reduce.jl          198 foldl
     5         0 @Base/reduce.jl          198 #foldl#336
     5         0 @Base/reduce.jl          175 mapfoldl
     5         0 @Base/reduce.jl          175 #mapfoldl#335
     5         0 @Base/reduce.jl           44 mapfoldl_impl
     5         0 @Base/reduce.jl           48 foldl_impl
     5         0 @Base/reduce.jl           68 _foldl_impl
     5         0 @Base/reduce.jl           86 BottomRF
     5         0 …ons/tensor_algebra.jl   158 #213
     6         4 …ensors/src/itensor.jl  1340 filter_inds_set_function(::Functi…
     6         0 …fPEPS/src/sampling.jl   138 get_sample(peps::PEPS; mode::Symb…
     6         0 …fPEPS/src/sampling.jl    55 get_ket(peps::PEPS, i::Int64, env…
     6         0 …ITensorMPS/src/mpo.jl   614 kwcall(::@NamedTuple{maxdim::Int6…
     7         0 …uralfPEPS/src/PEPS.jl   330 get_projected(peps::PEPS, Sij::In…
     7         0 …ITensorMPS/src/mpo.jl   629 #contract#457
     7         2 …_tensor_operations.jl    91 contract(::Type{NDTensors.CanCont…
     8         0 …PEPS/src/Ok_and_Ek.jl    21 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     8         0 …aturalfPEPS/src/Ek.jl   332 kwcall(::@NamedTuple{h_envs_r::Ma…
     8         0 …aturalfPEPS/src/Ek.jl   336 get_Ek(peps::PEPS, ham_op::Quantu…
     8         0 …aturalfPEPS/src/Ek.jl   249 get_logψ_flipped
     8         0 …aturalfPEPS/src/Ek.jl   286 get_logψ_flipped(peps::PEPS, Ek_t…
     8         0 …ons/tensor_algebra.jl     3 _contract(A::NDTensors.DenseTenso…
     8         0 …s/src/SimpleTraits.jl   332 contract
     9         0 …ons/tensor_algebra.jl    74 contract(A::ITensor, B::ITensor)
     9         1 …ons/tensor_algebra.jl     9 _contract(A::ITensor, B::ITensor)
     9         0 …PEPS/src/Ok_and_Ek.jl     7 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     9         0 …fPEPS/src/sampling.jl   127 get_sample
     9         0 …ITensorMPS/src/mpo.jl   691 contract
    25         0 …ibuted/Oks_and_Eks.jl    72 (::QuantumNaturalfPEPS.var"#Oks_a…
    25         0 …ibuted/Oks_and_Eks.jl    79 kwcall(::@NamedTuple{timer::Timer…
    25         0 …ibuted/Oks_and_Eks.jl    92 Oks_and_Eks_singlethread(peps::PE…
    25         0 …PEPS/src/Ok_and_Ek.jl     3 kwcall(::@NamedTuple{timer::Timer…
    26         0 …nt/NaturalGradient.jl    53 QuantumNaturalGradient.NaturalGra…
    26         0 …ibuted/Oks_and_Eks.jl    63 (::QuantumNaturalfPEPS.var"#Oks_a…
    27         0 …file_reference_cpu.jl   299 main()
    27         0 …file_reference_cpu.jl   208 kwcall(::@NamedTuple{sample_nr::I…
