 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     2         0 …ons/tensor_algebra.jl    61 *
     2         0 …ITensorMPS/src/mpo.jl   762 contract(::NDTensors.BackendSelec…
     2         0 …PS/src/abstractmps.jl   771 map!(f::ITensors.ITensorMPS.var"#…
     2         0 …ITensorMPS/src/mpo.jl   742 contract(::NDTensors.BackendSelec…
     2         0 @Base/broadcast.jl       883 materialize!
     2         0 …ensors/src/itensor.jl  1343 filter_inds_set_function(::Functi…
     2         0 …ensors/src/itensor.jl  1344 filter_inds_set_function(::Functi…
     2         0 @Base/operators.jl       556 afoldl
     2         0 …_tensor_operations.jl   113 contract(tensor1::NDTensors.Dense…
     2         0 …_tensor_operations.jl   188 contract!!
     2         0 …_tensor_operations.jl   219 contract!!
     2         0 …_tensor_operations.jl   131 _contract!!
     2         0 …_tensor_operations.jl   143 _contract!!(output_tensor::NDTens…
     2         0 …_tensor_operations.jl   165 contract!
     2         0 …aturalfPEPS/src/Ek.jl   280 get_logψ_flipped(peps::PEPS, Ek_t…
     2         0 …S/src/Environments.jl   161 get_all_4b_envs
     2         0 …S/src/Environments.jl   161 get_all_4b_envs(peps::PEPS, env_t…
     2         0 …S/src/Environments.jl   164 get_all_4b_envs
     2         0 …ITensorMPS/src/mpo.jl   756 contract(::NDTensors.BackendSelec…
     2         0 …PS/src/abstractmps.jl   470 siteinds
     2         0 …PS/src/abstractmps.jl   481 siteinds(f::typeof(uniqueinds), A…
     2         0 …ensors/src/itensor.jl  1354 uniqueinds
     2         0 …ensors/src/itensor.jl  1354 #uniqueinds#141
     2         0 …ensors/src/itensor.jl  1343 filter_inds_set_function
     2         0 …ensors/src/itensor.jl  1344 #filter_inds_set_function#138
     2         0 @Base/array.jl           801 collect(itr::Base.Generator{Base.…
     2         0 @Base/array.jl           827 collect_to_with_first!
     2         0 @Base/array.jl           849 collect_to!
     2         0 @Base/generator.jl        48 iterate
     2         0 …ibuted/Oks_and_Eks.jl    66 (::QuantumNaturalfPEPS.var"#Oks_a…
     2         0 …fPEPS/src/sampling.jl    40 update_double_layer_envs!
     3         0 …ITensorMPS/src/mpo.jl   715 contract(::NDTensors.BackendSelec…
     3         0 …PS/src/abstractmps.jl   871 sim
     3         0 …PS/src/abstractmps.jl   872 #sim#93
     3         0 …PS/src/abstractmps.jl   778 map
     3         0 …ensors/src/itensor.jl  1498 replaceinds(::ITensor, ::Vector{I…
     3         1 …ensors/src/itensor.jl  1498 replaceinds(::ITensor, ::Vector{I…
     3         0 …_tensor_operations.jl    91 contract(::Type{NDTensors.CanCont…
     3         0 …ensors/src/itensor.jl  1501 replaceinds(::NDTensors.DenseTens…
     3         2 …ensors/src/itensor.jl  1502 replaceinds(::NDTensors.DenseTens…
     3         0 …ITensorMPS/src/mpo.jl   766 contract(::NDTensors.BackendSelec…
     3         0 …aturalfPEPS/src/Ek.jl   286 get_logψ_flipped(peps::PEPS, Ek_t…
     4         0 …S/src/Environments.jl    74 get_logψ_and_envs(peps::PEPS, S::…
     4         0 …trix_decomposition.jl   291 kwcall(::@NamedTuple{ishermitian:…
     4         0 …fPEPS/src/sampling.jl   177 get_sample(peps::PEPS; mode::Symb…
     4         0 …uralfPEPS/src/PEPS.jl   330 get_projected(peps::PEPS, Sij::In…
     4         0 …uralfPEPS/src/PEPS.jl   287 siteind(peps::PEPS, i::Int64, j::…
     4         0 …ensors/src/itensor.jl  1360 uniqueind
     4         0 …ensors/src/itensor.jl  1360 uniqueind(::ITensor, ::Vararg{ITe…
     4         0 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     4         2 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     4         3 …ensors/src/itensor.jl  1340 filter_inds_set_function(::Functi…
     4         0 …ons/tensor_algebra.jl   178 *
     4         0 …ons/tensor_algebra.jl   178 #*#219
     4         0 …ons/tensor_algebra.jl   168 contract
     4         0 …ons/tensor_algebra.jl   168 #contract#217
     4         0 …ons/tensor_algebra.jl   154 contract
     4         0 …ons/tensor_algebra.jl   158 contract(As::NTuple{4, ITensor}; …
     4         0 @Base/reduce.jl          198 foldl
     4         0 @Base/reduce.jl          198 #foldl#336
     4         0 @Base/reduce.jl          175 mapfoldl
     4         0 @Base/reduce.jl          175 #mapfoldl#335
     4         0 @Base/reduce.jl           44 mapfoldl_impl
     4         0 @Base/reduce.jl           48 foldl_impl
     4         0 @Base/reduce.jl           68 _foldl_impl
     4         0 @Base/reduce.jl           86 BottomRF
     4         0 …ons/tensor_algebra.jl   158 #213
     4         0 …ons/tensor_algebra.jl     3 _contract(A::NDTensors.DenseTenso…
     4         0 …s/src/SimpleTraits.jl   332 contract
     5         0 …PEPS/src/Ok_and_Ek.jl    15 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     5         0 …S/src/Environments.jl    50 get_logψ_and_envs
     5         0 …fPEPS/src/sampling.jl   138 get_sample(peps::PEPS; mode::Symb…
     5         0 …fPEPS/src/sampling.jl    55 get_ket(peps::PEPS, i::Int64, env…
     5         0 …ITensorMPS/src/mpo.jl   614 kwcall(::@NamedTuple{maxdim::Int6…
     6         0 …ITensorMPS/src/mpo.jl   629 #contract#457
     6         0 …PEPS/src/Ok_and_Ek.jl    21 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     6         0 …aturalfPEPS/src/Ek.jl   332 kwcall(::@NamedTuple{h_envs_r::Ma…
     6         0 …aturalfPEPS/src/Ek.jl   336 get_Ek(peps::PEPS, ham_op::Quantu…
     6         0 …aturalfPEPS/src/Ek.jl   249 get_logψ_flipped
     7         0 …ons/tensor_algebra.jl    74 contract(A::ITensor, B::ITensor)
     7         2 …ons/tensor_algebra.jl     9 _contract(A::ITensor, B::ITensor)
     7         0 …ITensorMPS/src/mpo.jl   629 contract(A::MPO, ψ::MPS; alg::Str…
     8         0 …S/src/Environments.jl    88 kwcall(::@NamedTuple{env_row_abov…
     8         0 …S/src/Environments.jl    93 #generate_env_row#49
     9         0 …ITensorMPS/src/mpo.jl   614 contract
     9         0 …PEPS/src/Ok_and_Ek.jl     7 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     9         0 …fPEPS/src/sampling.jl   127 get_sample
    13         0 …ITensorMPS/src/mpo.jl   691 contract
    22         0 …ibuted/Oks_and_Eks.jl    72 (::QuantumNaturalfPEPS.var"#Oks_a…
    22         0 …ibuted/Oks_and_Eks.jl    79 kwcall(::@NamedTuple{timer::Timer…
    22         0 …ibuted/Oks_and_Eks.jl    92 Oks_and_Eks_singlethread(peps::PE…
    22         0 …PEPS/src/Ok_and_Ek.jl     3 kwcall(::@NamedTuple{timer::Timer…
    24         0 …file_reference_cpu.jl   182 run_scenario(case::@NamedTuple{na…
    24         0 …/src/evolve/evolve.jl   119 kwcall(::@NamedTuple{integrator::…
    24         0 …/src/evolve/evolve.jl   170 evolve(Oks_and_Eks_::QuantumNatur…
    24         0 …/src/evolve/evolve.jl   176 evolve!(state::QuantumNaturalGrad…
    24         0 …/src/evolve/evolve.jl   200 step!(o::QuantumNaturalGradient.O…
    24         0 …evolve/integrators.jl    38 kwcall(::@NamedTuple{sample_nr::I…
    24         0 …evolve/integrators.jl    44 (::QuantumNaturalGradient.Euler)(…
    24         0 …nt/NaturalGradient.jl   175 NaturalGradient_timeit_wrapper
    24         0 …nt/NaturalGradient.jl   177 NaturalGradient_timeit_wrapper(θ:…
    24         0 …nt/NaturalGradient.jl    52 kwcall(::@NamedTuple{sample_nr::I…
    24         0 …nt/NaturalGradient.jl    53 QuantumNaturalGradient.NaturalGra…
    24         0 …ibuted/Oks_and_Eks.jl    63 (::QuantumNaturalfPEPS.var"#Oks_a…
    25         0 …file_reference_cpu.jl   299 main()
    25         0 …file_reference_cpu.jl   208 kwcall(::@NamedTuple{sample_nr::I…
    25         0 …file_reference_cpu.jl   237 run_profiled(factory::typeof(make…
    25         0 …rofile/src/Profile.jl    58 macro expansion
    25         0 …file_reference_cpu.jl   174 run_scenario
    26         0 @Base/client.jl          531 _start()
    26         0 @Base/client.jl          323 exec_options(opts::Base.JLOptions)
    26         0 @Base/Base.jl            557 include(mod::Module, _path::Strin…
    26         0 @Base/loading.jl        2794 _include(mapexpr::Function, mod::…
    26         0 @Base/loading.jl        2734 include_string(mapexpr::typeof(id…
    26         1 @Base/boot.jl            430 eval
Total snapshots: 28. Utilization: 100% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
