 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     2         0 …uralfPEPS/src/PEPS.jl   325 get_projected
     2         0 @Base/generator.jl        48 iterate
     2         0 none                       ? #31
     2         0 …uralfPEPS/src/PEPS.jl   330 get_projected(peps::PEPS, Sij::In…
     2         0 …uralfPEPS/src/PEPS.jl   287 siteind(peps::PEPS, i::Int64, j::…
     2         0 …ensors/src/itensor.jl  1360 uniqueind
     2         0 …ensors/src/itensor.jl  1360 uniqueind(::ITensor, ::Vararg{ITe…
     2         0 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     2         0 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     2         0 …ensors/src/itensor.jl  1343 filter_inds_set_function(::Functi…
     2         0 …ensors/src/itensor.jl  1344 filter_inds_set_function(::Functi…
     2         0 …ons/tensor_algebra.jl    74 contract(A::ITensor, B::ITensor)
     2         0 …ons/tensor_algebra.jl     9 _contract(A::ITensor, B::ITensor)
     2         0 …ons/tensor_algebra.jl     3 _contract(A::NDTensors.DenseTenso…
     2         0 …s/src/SimpleTraits.jl   332 contract
     2         0 …_tensor_operations.jl    91 contract(::Type{NDTensors.CanCont…
     2         0 …_tensor_operations.jl   113 contract(tensor1::NDTensors.Dense…
     2         0 …_tensor_operations.jl   188 contract!!
     2         0 …_tensor_operations.jl   131 _contract!!
     2         0 …_tensor_operations.jl   165 contract!
     2         0 …PEPS/src/Ok_and_Ek.jl    15 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     2         0 …S/src/Environments.jl    50 get_logψ_and_envs
     2         0 …S/src/Environments.jl    74 get_logψ_and_envs(peps::PEPS, S::…
     2         0 …ITensorMPS/src/mpo.jl   741 contract(::NDTensors.BackendSelec…
     2         0 …PS/src/abstractmps.jl   470 siteinds
     2         0 …PS/src/abstractmps.jl   480 siteinds(f::typeof(uniqueinds), A…
     2         0 …ensors/src/itensor.jl  1354 uniqueinds
     2         0 …ensors/src/itensor.jl  1354 #uniqueinds#141
     2         0 …ensors/src/itensor.jl  1343 filter_inds_set_function
     2         0 …ensors/src/itensor.jl  1344 #filter_inds_set_function#138
     2         1 …src/set_operations.jl    17 _setdiff(::Tuple{Index{Int64}, In…
     2         0 …fPEPS/src/sampling.jl   177 get_sample(peps::PEPS; mode::Symb…
     3         0 …PEPS/src/Ok_and_Ek.jl     7 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     3         0 …fPEPS/src/sampling.jl   127 get_sample
     4         2 …ensors/src/itensor.jl  1340 filter_inds_set_function(::Functi…
     4         0 …S/src/Environments.jl    88 kwcall(::@NamedTuple{env_row_abov…
     4         0 …S/src/Environments.jl    93 #generate_env_row#49
     4         0 …ITensorMPS/src/mpo.jl   629 contract(A::MPO, ψ::MPS; alg::Str…
     5         0 …ITensorMPS/src/mpo.jl   614 contract
     5         0 …ITensorMPS/src/mpo.jl   691 contract
     7         0 …ibuted/Oks_and_Eks.jl    72 (::QuantumNaturalfPEPS.var"#Oks_a…
     7         0 …ibuted/Oks_and_Eks.jl    79 kwcall(::@NamedTuple{timer::Timer…
     7         0 …ibuted/Oks_and_Eks.jl    92 Oks_and_Eks_singlethread(peps::PE…
     7         0 …PEPS/src/Ok_and_Ek.jl     3 kwcall(::@NamedTuple{timer::Timer…
     8         0 @Base/client.jl          531 _start()
     8         0 @Base/client.jl          323 exec_options(opts::Base.JLOptions)
     8         0 @Base/Base.jl            557 include(mod::Module, _path::Strin…
     8         0 @Base/loading.jl        2794 _include(mapexpr::Function, mod::…
     8         0 @Base/loading.jl        2734 include_string(mapexpr::typeof(id…
     8         0 @Base/boot.jl            430 eval
     8         0 …file_reference_cpu.jl   299 main()
     8         0 …file_reference_cpu.jl   208 kwcall(::@NamedTuple{sample_nr::I…
     8         0 …file_reference_cpu.jl   237 run_profiled(factory::typeof(make…
     8         0 …rofile/src/Profile.jl    58 macro expansion
     8         0 …file_reference_cpu.jl   174 run_scenario
     8         0 …file_reference_cpu.jl   182 run_scenario(case::@NamedTuple{na…
     8         0 …/src/evolve/evolve.jl   119 kwcall(::@NamedTuple{integrator::…
     8         0 …/src/evolve/evolve.jl   170 evolve(Oks_and_Eks_::QuantumNatur…
     8         0 …/src/evolve/evolve.jl   176 evolve!(state::QuantumNaturalGrad…
     8         0 …/src/evolve/evolve.jl   200 step!(o::QuantumNaturalGradient.O…
     8         0 …evolve/integrators.jl    38 kwcall(::@NamedTuple{sample_nr::I…
     8         0 …evolve/integrators.jl    44 (::QuantumNaturalGradient.Euler)(…
     8         0 …nt/NaturalGradient.jl   175 NaturalGradient_timeit_wrapper
     8         0 …nt/NaturalGradient.jl   177 NaturalGradient_timeit_wrapper(θ:…
     8         0 …nt/NaturalGradient.jl    52 kwcall(::@NamedTuple{sample_nr::I…
     8         0 …nt/NaturalGradient.jl    53 QuantumNaturalGradient.NaturalGra…
     8         0 …ibuted/Oks_and_Eks.jl    63 (::QuantumNaturalfPEPS.var"#Oks_a…
Total snapshots: 9. Utilization: 100% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
