 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     2         0 …PEPS/src/Ok_and_Ek.jl    21 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     2         0 …aturalfPEPS/src/Ek.jl   332 kwcall(::@NamedTuple{h_envs_r::Ma…
     2         0 …aturalfPEPS/src/Ek.jl   336 get_Ek(peps::PEPS, ham_op::Quantu…
     2         0 …aturalfPEPS/src/Ek.jl   249 get_logψ_flipped
     2         0 …aturalfPEPS/src/Ek.jl   264 get_logψ_flipped(peps::PEPS, Ek_t…
     2         0 …aturalfPEPS/src/Ek.jl     4 sort_dict
     2         0 …ITensorMPS/src/mpo.jl   721 contract(::NDTensors.BackendSelec…
     2         0 …PS/src/abstractmps.jl   875 sim!
     2         0 …PS/src/abstractmps.jl   876 #sim!#95
     2         1 …ensors/src/itensor.jl  1498 replaceinds(::ITensor, ::Vector{I…
     2         0 @Base/array.jl           801 collect(itr::Base.Generator{UnitR…
     2         0 @Base/array.jl           827 collect_to_with_first!
     2         0 @Base/array.jl           849 collect_to!
     2         0 …uralfPEPS/src/PEPS.jl   287 siteind(peps::PEPS, i::Int64, j::…
     2         0 …ensors/src/itensor.jl  1360 uniqueind
     2         0 …ensors/src/itensor.jl  1360 uniqueind(::ITensor, ::Vararg{ITe…
     2         0 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     2         1 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     2         0 …ons/tensor_algebra.jl    61 *
     2         0 …ensors/src/itensor.jl  1354 commoninds
     2         0 …ensors/src/itensor.jl  1354 #commoninds#139
     2         0 …ensors/src/itensor.jl  1343 filter_inds_set_function
     2         0 …ensors/src/itensor.jl  1344 #filter_inds_set_function#138
     2         0 …S/src/Environments.jl    88 kwcall(::@NamedTuple{env_row_abov…
     2         0 …S/src/Environments.jl    93 #generate_env_row#49
     2         0 …ITensorMPS/src/mpo.jl   629 contract(A::MPO, ψ::MPS; alg::Str…
     2         0 …ons/tensor_algebra.jl   178 *
     2         0 …ons/tensor_algebra.jl   178 #*#219
     2         0 …ons/tensor_algebra.jl   168 contract
     2         0 …ons/tensor_algebra.jl   168 #contract#217
     2         0 …ons/tensor_algebra.jl   154 contract
     2         0 …ons/tensor_algebra.jl   158 contract(As::Tuple{ITensor, ITens…
     2         0 @Base/reduce.jl          198 foldl
     2         0 @Base/reduce.jl          198 #foldl#336
     2         0 @Base/reduce.jl          175 mapfoldl
     2         0 @Base/reduce.jl          175 #mapfoldl#335
     2         0 @Base/reduce.jl           44 mapfoldl_impl
     2         0 @Base/reduce.jl           48 foldl_impl
     2         0 @Base/reduce.jl           68 _foldl_impl
