 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     2         0 …uralfPEPS/src/PEPS.jl   287 siteind(peps::PEPS, i::Int64, j::…
     2         0 …ensors/src/itensor.jl  1360 uniqueind
     2         0 …ensors/src/itensor.jl  1360 uniqueind(::ITensor, ::Vararg{ITe…
     2         0 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     2         0 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     2         0 …ensors/src/itensor.jl  1343 filter_inds_set_function(::Functi…
     2         0 …ensors/src/itensor.jl  1344 filter_inds_set_function(::Functi…
     2         2 …src/set_operations.jl    17 _setdiff(::Tuple{Index{Int64}, In…
     2         0 …PEPS/src/Ok_and_Ek.jl    21 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     2         0 …aturalfPEPS/src/Ek.jl   332 kwcall(::@NamedTuple{h_envs_r::Ma…
     2         0 …aturalfPEPS/src/Ek.jl   336 get_Ek(peps::PEPS, ham_op::Quantu…
     2         0 …aturalfPEPS/src/Ek.jl   249 get_logψ_flipped
     3         0 …ensors/src/itensor.jl  1340 filter_inds_set_function(::Functi…
     3         0 …fPEPS/src/sampling.jl   138 get_sample(peps::PEPS; mode::Symb…
     3         0 …fPEPS/src/sampling.jl    55 get_ket(peps::PEPS, i::Int64, env…
     3         0 …ITensorMPS/src/mpo.jl   614 kwcall(::@NamedTuple{maxdim::Int6…
     3         0 …ITensorMPS/src/mpo.jl   629 #contract#457
     3         0 …ITensorMPS/src/mpo.jl   691 contract
     5         0 …PEPS/src/Ok_and_Ek.jl     7 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     5         0 …fPEPS/src/sampling.jl   127 get_sample
     9         0 …ibuted/Oks_and_Eks.jl    72 (::QuantumNaturalfPEPS.var"#Oks_a…
     9         0 …ibuted/Oks_and_Eks.jl    79 kwcall(::@NamedTuple{timer::Timer…
     9         0 …ibuted/Oks_and_Eks.jl    92 Oks_and_Eks_singlethread(peps::PE…
     9         0 …PEPS/src/Ok_and_Ek.jl     3 kwcall(::@NamedTuple{timer::Timer…
    10         0 …nt/NaturalGradient.jl    53 QuantumNaturalGradient.NaturalGra…
    10         0 …ibuted/Oks_and_Eks.jl    63 (::QuantumNaturalfPEPS.var"#Oks_a…
    11         0 @Base/client.jl          531 _start()
    11         0 @Base/client.jl          323 exec_options(opts::Base.JLOptions)
    11         0 @Base/Base.jl            557 include(mod::Module, _path::Strin…
    11         0 @Base/loading.jl        2794 _include(mapexpr::Function, mod::…
    11         0 @Base/loading.jl        2734 include_string(mapexpr::typeof(id…
    11         0 @Base/boot.jl            430 eval
    11         0 …file_reference_cpu.jl   299 main()
    11         0 …file_reference_cpu.jl   208 kwcall(::@NamedTuple{sample_nr::I…
    11         0 …file_reference_cpu.jl   237 run_profiled(factory::typeof(make…
    11         0 …rofile/src/Profile.jl    58 macro expansion
    11         0 …file_reference_cpu.jl   174 run_scenario
    11         0 …file_reference_cpu.jl   182 run_scenario(case::@NamedTuple{na…
    11         0 …/src/evolve/evolve.jl   119 kwcall(::@NamedTuple{integrator::…
    11         0 …/src/evolve/evolve.jl   170 evolve(Oks_and_Eks_::QuantumNatur…
    11         0 …/src/evolve/evolve.jl   176 evolve!(state::QuantumNaturalGrad…
    11         0 …/src/evolve/evolve.jl   200 step!(o::QuantumNaturalGradient.O…
    11         0 …evolve/integrators.jl    38 kwcall(::@NamedTuple{sample_nr::I…
    11         0 …evolve/integrators.jl    44 (::QuantumNaturalGradient.Euler)(…
    11         0 …nt/NaturalGradient.jl   175 NaturalGradient_timeit_wrapper
    11         0 …nt/NaturalGradient.jl   177 NaturalGradient_timeit_wrapper(θ:…
    11         0 …nt/NaturalGradient.jl    52 kwcall(::@NamedTuple{sample_nr::I…
Total snapshots: 14. Utilization: 100% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
