 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     2         0 …aturalfPEPS/src/Ek.jl   280 get_logψ_flipped(peps::PEPS, Ek_t…
     2         0 …S/src/Environments.jl   161 get_all_4b_envs
     2         0 …S/src/Environments.jl   161 get_all_4b_envs(peps::PEPS, env_t…
     2         0 …S/src/Environments.jl   164 get_all_4b_envs
     2         0 …S/src/Environments.jl   175 get_4b_envs!(peps::PEPS, env_top:…
     2         0 …uralfPEPS/src/PEPS.jl   325 get_projected
     2         0 @Base/array.jl           827 collect_to_with_first!
     2         0 @Base/array.jl           849 collect_to!
     2         0 none                       ? #31
     2         2 …/contraction_logic.jl    13 contract_labels(T1labels::NTuple{…
     2         0 …nericEksAndOks/Eks.jl   146 get_precomp_sOψ_elems(tso::Quantu…
     2         0 …nericEksAndOks/Eks.jl    78 kwcall(::@NamedTuple{sum_precompu…
     2         0 …nericEksAndOks/Eks.jl    85 get_precomp_sOψ_elems!(tensor::IT…
     2         0 …ensors/src/itensor.jl   562 onehot
     2         0 …ensorsSiteTypesExt.jl    76 onehot(::Type{Vector{Float64}}, :…
     2         0 @Base/boot.jl            578 Array
     2         2 @Base/boot.jl            516 GenericMemory
     2         0 @Base/broadcast.jl       880 materialize!(dest::ITensor, bc::B…
     2         1 @Base/broadcast.jl       883 materialize!
     2         0 …S/src/Environments.jl    74 get_logψ_and_envs(peps::PEPS, S::…
     2         0 …ons/tensor_algebra.jl     2 _contract(A::NDTensors.DenseTenso…
     2         0 …fPEPS/src/sampling.jl   138 get_sample(peps::PEPS; mode::Symb…
     2         0 …fPEPS/src/sampling.jl    55 get_ket(peps::PEPS, i::Int64, env…
     2         0 …ITensorMPS/src/mpo.jl   614 kwcall(::@NamedTuple{maxdim::Int6…
     2         0 …trix_decomposition.jl   368 eigen(A::ITensor, Linds::Vector{I…
     2         0 @Base/operators.jl       554 afoldl
     2         0 …_tensor_operations.jl   131 _contract!!
     2         0 …_tensor_operations.jl   165 contract!
     2         0 …ensors/src/itensor.jl  1768 dag(T::ITensor)
     2         0 …ensors/src/itensor.jl  1779 #dag#196
     2         2 …ensors/src/itensor.jl  1753 dag(as::NDTensors.AllowAlias, T::…
     2         0 …fPEPS/src/sampling.jl    33 generate_double_layer_envs(peps::…
     2         0 …fPEPS/src/sampling.jl    12 kwcall(::@NamedTuple{cutoff::Floa…
     2         0 …fPEPS/src/sampling.jl    16 generate_double_layer_env_row(pep…
     2         0 …ITensorMPS/src/mpo.jl   841 contract(::NDTensors.BackendSelec…
     2         0 …PS/src/abstractmps.jl  1658 orthogonalize
     2         0 …PS/src/abstractmps.jl  1660 #orthogonalize#338
     3         0 …aturalfPEPS/src/Ek.jl   286 get_logψ_flipped(peps::PEPS, Ek_t…
     3         0 @Base/array.jl           801 collect(itr::Base.Generator{UnitR…
     3         0 …ons/tensor_algebra.jl    61 *
     3         0 …PEPS/src/Ok_and_Ek.jl    20 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     3         0 …nericEksAndOks/Eks.jl   139 kwcall(::@NamedTuple{get_flip_sit…
     3         2 …src/set_operations.jl    17 _setdiff(::NTuple{4, Index{Int64}…
     3         0 …PEPS/src/Ok_and_Ek.jl    15 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     3         0 …S/src/Environments.jl    50 get_logψ_and_envs
     3         0 …S/src/Environments.jl    88 kwcall(::@NamedTuple{env_row_abov…
     3         0 …S/src/Environments.jl    93 #generate_env_row#49
     3         0 …ITensorMPS/src/mpo.jl   629 contract(A::MPO, ψ::MPS; alg::Str…
     3         0 …fPEPS/src/sampling.jl   148 get_sample(peps::PEPS; mode::Symb…
     3         0 …fPEPS/src/sampling.jl    84 get_reduced_ρ(ket_j::ITensor, bra…
     3         0 …_tensor_operations.jl   188 contract!!
     3         0 …fPEPS/src/sampling.jl    30 generate_double_layer_envs(peps::…
     3         0 …fPEPS/src/sampling.jl     1 kwcall(::@NamedTuple{cutoff::Floa…
     3         0 …fPEPS/src/sampling.jl     6 generate_double_layer_env_row(pep…
     3         0 …ITensorMPS/src/mpo.jl   814 contract
     3         0 …ITensorMPS/src/mpo.jl   815 contract(A::MPO, B::MPO; alg::Str…
     3         0 …ITensorMPS/src/mpo.jl   822 contract
     3         0 …PS/src/abstractmps.jl  1602 orthogonalize!
     4         0 @Base/generator.jl        48 iterate
     4         0 …uralfPEPS/src/PEPS.jl   287 siteind(peps::PEPS, i::Int64, j::…
     4         0 …ensors/src/itensor.jl  1360 uniqueind
     4         0 …ensors/src/itensor.jl  1360 uniqueind(::ITensor, ::Vararg{ITe…
     4         0 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     4         0 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     4         0 …ensors/src/itensor.jl  1343 filter_inds_set_function(::Functi…
     4         0 …ensors/src/itensor.jl  1344 filter_inds_set_function(::Functi…
     4         0 …ITensorMPS/src/mpo.jl   762 contract(::NDTensors.BackendSelec…
     4         0 …trix_decomposition.jl   291 kwcall(::@NamedTuple{ishermitian:…
     4         0 …ons/tensor_algebra.jl   178 *
     4         0 …ons/tensor_algebra.jl   178 #*#219
     4         0 …ons/tensor_algebra.jl   168 contract
     4         0 …ons/tensor_algebra.jl   168 #contract#217
     4         0 …ons/tensor_algebra.jl   154 contract
     4         0 …ons/tensor_algebra.jl   158 contract(As::NTuple{4, ITensor}; …
     4         0 @Base/reduce.jl          198 foldl
     4         0 @Base/reduce.jl          198 #foldl#336
     4         0 @Base/reduce.jl          175 mapfoldl
     4         0 @Base/reduce.jl          175 #mapfoldl#335
     4         0 @Base/reduce.jl           44 mapfoldl_impl
     4         0 @Base/reduce.jl           48 foldl_impl
     4         0 @Base/reduce.jl           68 _foldl_impl
     4         0 @Base/reduce.jl           86 BottomRF
     4         0 …ons/tensor_algebra.jl   158 #213
     4         0 …ITensorMPS/src/mpo.jl   629 #contract#457
     4         0 …_tensor_operations.jl   113 contract(tensor1::NDTensors.Dense…
     5         0 …uralfPEPS/src/PEPS.jl   330 get_projected(peps::PEPS, Sij::In…
     5         1 …ensors/src/itensor.jl  1340 filter_inds_set_function(::Functi…
     5         0 …ITensorMPS/src/mpo.jl   614 contract
     5         0 …_tensor_operations.jl    91 contract(::Type{NDTensors.CanCont…
     5         0 …nt/NaturalGradient.jl    53 QuantumNaturalGradient.NaturalGra…
     5         0 …s_and_Eks_threaded.jl    15 (::QuantumNaturalfPEPS.var"#Oks_a…
     5         0 …s_and_Eks_threaded.jl    18 (::QuantumNaturalfPEPS.var"#Oks_a…
     5         0 …fPEPS/src/sampling.jl    40 update_double_layer_envs!
     6         0 …/src/evolve/evolve.jl   200 step!(o::QuantumNaturalGradient.O…
     6         0 …evolve/integrators.jl    38 kwcall(::@NamedTuple{sample_nr::I…
     6         0 …evolve/integrators.jl    44 (::QuantumNaturalGradient.Euler)(…
     6         0 …nt/NaturalGradient.jl   175 NaturalGradient_timeit_wrapper
     6         0 …nt/NaturalGradient.jl   177 NaturalGradient_timeit_wrapper(θ:…
     6         0 …nt/NaturalGradient.jl    52 kwcall(::@NamedTuple{sample_nr::I…
     6         0 …PEPS/src/Ok_and_Ek.jl    21 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     6         0 …aturalfPEPS/src/Ek.jl   332 kwcall(::@NamedTuple{h_envs_r::Ma…
     6         0 …aturalfPEPS/src/Ek.jl   336 get_Ek(peps::PEPS, ham_op::Quantu…
     6         0 …aturalfPEPS/src/Ek.jl   249 get_logψ_flipped
     6         0 …ons/tensor_algebra.jl     3 _contract(A::NDTensors.DenseTenso…
     6         0 …s/src/SimpleTraits.jl   332 contract
     7         0 @Base/client.jl          531 _start()
     7         0 @Base/client.jl          323 exec_options(opts::Base.JLOptions)
     7         0 @Base/Base.jl            557 include(mod::Module, _path::Strin…
     7         0 @Base/loading.jl        2794 _include(mapexpr::Function, mod::…
     7         0 @Base/loading.jl        2734 include_string(mapexpr::typeof(id…
     7         0 @Base/boot.jl            430 eval
     7         0 …file_reference_cpu.jl   299 main()
     7         0 …file_reference_cpu.jl   208 kwcall(::@NamedTuple{sample_nr::I…
     7         0 …file_reference_cpu.jl   237 run_profiled(factory::typeof(make…
     7         0 …rofile/src/Profile.jl    58 macro expansion
     7         0 …file_reference_cpu.jl   174 run_scenario
     7         0 …file_reference_cpu.jl   182 run_scenario(case::@NamedTuple{na…
     7         0 …/src/evolve/evolve.jl   119 kwcall(::@NamedTuple{integrator::…
     7         0 …/src/evolve/evolve.jl   170 evolve(Oks_and_Eks_::QuantumNatur…
     7         0 …/src/evolve/evolve.jl   176 evolve!(state::QuantumNaturalGrad…
     7         0 …ITensorMPS/src/mpo.jl   691 contract
     8         0 …ons/tensor_algebra.jl    74 contract(A::ITensor, B::ITensor)
     8         0 …ons/tensor_algebra.jl     9 _contract(A::ITensor, B::ITensor)
     9         0 …PEPS/src/Ok_and_Ek.jl     7 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     9         0 …fPEPS/src/sampling.jl   127 get_sample
    22         0 …hreadingconstructs.jl   154 (::Base.Threads.var"#1#2"{Quantum…
    22         0 …hreadingconstructs.jl   220 #46549#threadsfor_fun
    22         0 …hreadingconstructs.jl   253 (::QuantumNaturalfPEPS.var"#46549…
    22         0 …s_and_Eks_threaded.jl    66 macro expansion
    22         0 …PEPS/src/Ok_and_Ek.jl     3 kwcall(::@NamedTuple{Ok::SubArray…
Total snapshots: 75. Utilization: 71% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
