 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     2         0 …file_reference_cpu.jl   182 run_scenario(case::@NamedTuple{na…
     2         0 …/src/evolve/evolve.jl   119 kwcall(::@NamedTuple{integrator::…
     2         0 …/src/evolve/evolve.jl   170 evolve(Oks_and_Eks_::QuantumNatur…
     2         0 …/src/evolve/evolve.jl   176 evolve!(state::QuantumNaturalGrad…
     2         0 …aturalfPEPS/src/Ok.jl    56 get_Ok(peps::PEPS, env_top::Vecto…
     2         0 …PEPS/src/Ok_and_Ek.jl    16 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     2         0 …S/src/Environments.jl   116 get_all_horizontal_envs
     2         0 …S/src/Environments.jl   116 get_all_horizontal_envs(peps::PEP…
     2         0 …S/src/Environments.jl   119 get_all_horizontal_envs
     2         0 …ons/tensor_algebra.jl    61 *
     2         0 …_tensor_operations.jl   113 contract(tensor1::NDTensors.Dense…
     2         0 …_tensor_operations.jl   188 contract!!
     2         0 …_tensor_operations.jl   219 contract!!
     2         0 …_tensor_operations.jl   131 _contract!!
     2         0 …_tensor_operations.jl   143 _contract!!(output_tensor::NDTens…
     2         0 …_tensor_operations.jl   165 contract!
     2         0 …oralgebra/contract.jl   213 contract!
     2         0 …oralgebra/contract.jl   230 _contract!(CT::NDTensors.DenseTen…
     2         0 …ITensorMPS/src/mpo.jl   733 contract(::NDTensors.BackendSelec…
     2         0 …_tensor_operations.jl    62 contraction_output(tensor1::NDTen…
     2         0 …oralgebra/contract.jl     5 contraction_output
     2         0 …src/tensor/similar.jl    24 similar
     2         0 …sorstorage/similar.jl    42 similar
     2         0 …tractarray/similar.jl    11 similar
     2         0 @Base/boot.jl            594 Array
     2         0 …ITensorMPS/src/mpo.jl   726 contract(::NDTensors.BackendSelec…
     2         0 …PS/src/abstractmps.jl   932 sim
     2         0 …PS/src/abstractmps.jl   940 #sim#105
     2         0 …PS/src/abstractmps.jl   833 map
     2         0 …PS/src/abstractmps.jl   816 map!(f::ITensors.ITensorMPS.var"#…
     2         0 @Base/broadcast.jl       880 materialize!(dest::ITensor, bc::B…
     2         0 @Base/broadcast.jl       883 materialize!
     2         0 …sors/src/broadcast.jl   177 copyto!
     2         0 …ensors/src/itensor.jl  1910 map!(f::Function, R::ITensor, T1:…
     2         0 …fPEPS/src/sampling.jl   177 get_sample(peps::PEPS; mode::Symb…
     2         0 …PS/src/abstractmps.jl   480 siteinds(f::typeof(uniqueinds), A…
     2         0 @Base/array.jl           801 collect(itr::Base.Generator{UnitR…
     2         0 @Base/generator.jl        48 iterate
     2         0 …fPEPS/src/sampling.jl   138 get_sample(peps::PEPS; mode::Symb…
