 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     2         0 @Base/client.jl          531 _start()
     2         0 @Base/client.jl          323 exec_options(opts::Base.JLOptions)
     2         0 @Base/Base.jl            557 include(mod::Module, _path::Strin…
     2         0 @Base/loading.jl        2794 _include(mapexpr::Function, mod::…
     2         0 @Base/loading.jl        2734 include_string(mapexpr::typeof(id…
     2         0 @Base/boot.jl            430 eval
     2         0 …file_reference_cpu.jl   299 main()
     2         0 …file_reference_cpu.jl   208 kwcall(::@NamedTuple{sample_nr::I…
     2         0 …file_reference_cpu.jl   237 run_profiled(factory::typeof(make…
     2         0 …rofile/src/Profile.jl    58 macro expansion
     2         0 …file_reference_cpu.jl   174 run_scenario
     2         0 …file_reference_cpu.jl   182 run_scenario(case::@NamedTuple{na…
     2         0 …/src/evolve/evolve.jl   119 kwcall(::@NamedTuple{integrator::…
     2         0 …/src/evolve/evolve.jl   170 evolve(Oks_and_Eks_::QuantumNatur…
     2         0 …/src/evolve/evolve.jl   176 evolve!(state::QuantumNaturalGrad…
     2         0 …/src/evolve/evolve.jl   200 step!(o::QuantumNaturalGradient.O…
     2         0 …evolve/integrators.jl    38 kwcall(::@NamedTuple{sample_nr::I…
     2         0 …evolve/integrators.jl    44 (::QuantumNaturalGradient.Euler)(…
     2         0 …nt/NaturalGradient.jl   175 NaturalGradient_timeit_wrapper
     2         0 …nt/NaturalGradient.jl   177 NaturalGradient_timeit_wrapper(θ:…
     2         0 …nt/NaturalGradient.jl    52 kwcall(::@NamedTuple{sample_nr::I…
     2         0 @Base/task.jl            694 task_done_hook(t::Task)
     2         0 @Base/task.jl           1021 wait()
     2         2 @Base/task.jl           1012 poptask(W::Base.IntrusiveLinkedLi…
     2         0 …PEPS/src/Ok_and_Ek.jl     7 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     2         0 …fPEPS/src/sampling.jl   127 get_sample
     2         0 …fPEPS/src/sampling.jl   138 get_sample(peps::PEPS; mode::Symb…
     2         0 …fPEPS/src/sampling.jl    55 get_ket(peps::PEPS, i::Int64, env…
     2         0 …ITensorMPS/src/mpo.jl   614 kwcall(::@NamedTuple{maxdim::Int6…
     2         0 …ITensorMPS/src/mpo.jl   629 #contract#457
     2         0 …ITensorMPS/src/mpo.jl   742 contract(::NDTensors.BackendSelec…
     2         0 …trix_decomposition.jl   291 kwcall(::@NamedTuple{ishermitian:…
     2         0 …ons/tensor_algebra.jl    74 contract(A::ITensor, B::ITensor)
     2         0 …ons/tensor_algebra.jl     9 _contract(A::ITensor, B::ITensor)
     2         0 …ons/tensor_algebra.jl     3 _contract(A::NDTensors.DenseTenso…
     2         0 …s/src/SimpleTraits.jl   332 contract
     2         1 …_tensor_operations.jl    91 contract(::Type{NDTensors.CanCont…
     3         0 …ITensorMPS/src/mpo.jl   691 contract
     4         0 …hreadingconstructs.jl   154 (::Base.Threads.var"#1#2"{Quantum…
     4         0 …hreadingconstructs.jl   220 #46549#threadsfor_fun
     4         0 …hreadingconstructs.jl   253 (::QuantumNaturalfPEPS.var"#46549…
     4         0 …s_and_Eks_threaded.jl    66 macro expansion
     4         0 …PEPS/src/Ok_and_Ek.jl     3 kwcall(::@NamedTuple{Ok::SubArray…
Total snapshots: 15. Utilization: 73% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
