 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     2         0 …PEPS/src/Ok_and_Ek.jl     7 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     2         0 …fPEPS/src/sampling.jl   127 get_sample
     2         0 …ITensorMPS/src/mpo.jl   691 contract
     2         0 …PS/src/abstractmps.jl   470 siteinds
     2         0 …ensors/src/itensor.jl  1354 uniqueinds
     2         0 …ensors/src/itensor.jl  1354 #uniqueinds#141
     2         0 …ensors/src/itensor.jl  1343 filter_inds_set_function
     2         0 …ensors/src/itensor.jl  1344 #filter_inds_set_function#138
     2         0 …ensors/src/itensor.jl  1340 filter_inds_set_function(::Functi…
     2         1 …src/set_operations.jl    17 _setdiff(::NTuple{4, Index{Int64}…
     2         0 …PEPS/src/Ok_and_Ek.jl    21 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     2         0 …aturalfPEPS/src/Ek.jl   332 kwcall(::@NamedTuple{h_envs_r::Ma…
     2         0 …aturalfPEPS/src/Ek.jl   336 get_Ek(peps::PEPS, ham_op::Quantu…
     2         0 …aturalfPEPS/src/Ek.jl   249 get_logψ_flipped
     5         0 …hreadingconstructs.jl   154 (::Base.Threads.var"#1#2"{Quantum…
     5         0 …hreadingconstructs.jl   220 #46549#threadsfor_fun
     5         0 …hreadingconstructs.jl   253 (::QuantumNaturalfPEPS.var"#46549…
     5         0 …s_and_Eks_threaded.jl    66 macro expansion
     5         0 …PEPS/src/Ok_and_Ek.jl     3 kwcall(::@NamedTuple{Ok::SubArray…
Total snapshots: 15. Utilization: 67% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
