 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     2         0 @Base/broadcast.jl       872 materialize(bc::Base.Broadcast.Br…
     2         0 @Base/broadcast.jl       919 copy
     2         2 …compiler/typeutils.jl    51 argtypes_to_type(argtypes::Vector…
     2         0 …ractinterpretation.jl   847 abstract_call_method_with_const_a…
     2         0 …ractinterpretation.jl  1219 semi_concrete_eval_call(interp::C…
     2         0 …ler/ssair/irinterp.jl   440 ir_abstract_constant_propagation(…
     2         0 …ler/ssair/irinterp.jl   280 _ir_abstract_constant_propagation…
     2         0 …piler/ssair/passes.jl  1469 sroa_pass!(ir::Core.Compiler.IRCo…
     2         0 …/compiler/ssair/ir.jl  1427 process_node!(compact::Core.Compi…
     2         0 …/compiler/ssair/ir.jl  1063 setindex!
     2         0 …s_and_Eks_threaded.jl    25 (::QuantumNaturalfPEPS.var"#Oks_a…
     2         0 …s_and_Eks_threaded.jl    30 kwcall(::@NamedTuple{timer::Timer…
     2         2 …s_and_Eks_threaded.jl    82 Oks_and_Eks_threaded(peps::PEPS, …
     2         0 …/compiler/ssair/ir.jl  1357 process_node!(compact::Core.Compi…
     2         0 …piler/ssair/passes.jl   355 already_inserted_ssa
     2         2 @Base/boot.jl            435 Box
     2         0 …/compiler/ssair/ir.jl   625 CFGTransformState!(blocks::Vector…
     2         0 @Base/array.jl          1261 push!
     2         0 @Base/array.jl          1116 _growend!
     2         0 …iler/ssair/domtree.jl   266 compute_domtree_nodes!(domtree::C…
     2         0 …iler/ssair/domtree.jl   220 DomTreeNode
     2         0 @Base/boot.jl            601 Array
     2         2 @Base/boot.jl            579 Array
     2         0 …ler/ssair/inlining.jl  1421 handle_call!
     2         0 …ler/ssair/inlining.jl  1391 compute_inlining_cases(info::Core…
     2         0 …ler/ssair/inlining.jl  1315 handle_any_const_result!
     2         0 …ler/ssair/inlining.jl  1327 handle_any_const_result!(cases::V…
     2         0 …ler/ssair/inlining.jl  1428 handle_match!
     2         0 …ler/ssair/inlining.jl  1439 handle_match!(cases::Vector{Core.…
     2         0 …ler/ssair/inlining.jl   947 analyze_method!
     2         0 …ler/ssair/inlining.jl   980 analyze_method!(match::Core.Metho…
     2         0 …ler/ssair/inlining.jl   871 resolve_todo
     2         0 …ler/ssair/inlining.jl   904 resolve_todo(mi::Core.MethodInsta…
     2         0 …ler/ssair/inlining.jl   984 retrieve_ir_for_inlining(mi::Core…
     2         2 @Base/reflection.jl     1332 _uncompressed_ir
     2         0 …aturalfPEPS/src/Ek.jl   110 get_4body_term(peps::PEPS, env_to…
     2         0 …ons/tensor_algebra.jl    61 *(A::ITensor, B::ITensor)
     2         0 …_tensor_operations.jl    91 contract(::Type{NDTensors.CanCont…
     2         0 …_tensor_operations.jl   113 contract(tensor1::NDTensors.Dense…
     2         0 …_tensor_operations.jl   188 contract!!
     2         0 …_tensor_operations.jl   219 contract!!(output_tensor::NDTenso…
     2         0 …_tensor_operations.jl   131 _contract!!
     2         0 …_tensor_operations.jl   143 _contract!!
     2         0 …_tensor_operations.jl   165 contract!
     2         0 …oralgebra/contract.jl   194 contract!(R::NDTensors.DenseTenso…
     2         0 …uralfPEPS/src/PEPS.jl   330 get_projected(peps::PEPS, Sij::In…
     2         0 …PEPS/src/Ok_and_Ek.jl    20 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     2         0 …nericEksAndOks/Eks.jl   139 kwcall(::@NamedTuple{get_flip_sit…
     2         0 …nericEksAndOks/Eks.jl   146 get_precomp_sOψ_elems(tso::Quantu…
     2         0 …nericEksAndOks/Eks.jl    78 kwcall(::@NamedTuple{sum_precompu…
     2         0 …PS/src/abstractmps.jl   770 map!(f::ITensors.ITensorMPS.var"#…
     2         0 …ensors/src/itensor.jl  1501 replaceinds(::NDTensors.DenseTens…
     2         1 …ensors/src/itensor.jl  1502 replaceinds(::NDTensors.DenseTens…
     2         0 @Base/generator.jl        48 iterate
     2         0 …ensors/src/itensor.jl  1344 filter_inds_set_function(::Functi…
     2         2 …ensors/src/itensor.jl  1340 filter_inds_set_function(::Functi…
     2         0 …fPEPS/src/sampling.jl   177 get_sample(peps::PEPS; mode::Symb…
     2         0 …S/src/Environments.jl    88 kwcall(::@NamedTuple{env_row_abov…
     2         0 …S/src/Environments.jl    93 #generate_env_row#49
     2         0 …ITensorMPS/src/mpo.jl   629 contract(A::MPO, ψ::MPS; alg::Str…
