 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     2         0 …ler/ssair/slot2ssa.jl   909 construct_ssa!(ci::Core.CodeInfo,…
     2         2 @Base/array.jl           987 setindex!
     2         0 …mpiler/methodtable.jl   103 findall(sig::Type, table::Core.Co…
     2         0 …piler/ssair/passes.jl  2055 adce_pass!(ir::Core.Compiler.IRCo…
     2         0 …/compiler/ssair/ir.jl  1255 renumber_ssa2!(stmt::Any, ssanums…
     2         0 …/compiler/ssair/ir.jl   654 CFGTransformState!(blocks::Vector…
     2         0 …iler/ssair/domtree.jl   252 update_domtree!
     2         0 …iler/ssair/domtree.jl   193 DFS!(D::Core.Compiler.DFSTree, bl…
     2         2 @Base/array.jl             ? resize!(a::Vector{Int64}, nl_::In…
     2         2 …/compiler/ssair/ir.jl     ? _useref_getindex(stmt::Any, op::I…
     2         0 …/compiler/optimize.jl  1216 slot2reg
     2         0 …iler/ssair/domtree.jl   260 update_domtree!
     2         0 …iler/ssair/domtree.jl   266 compute_domtree_nodes!(domtree::C…
     2         0 …compiler/typeinfer.jl   267 finish_nocycle(::Core.Compiler.Na…
     2         0 @Base/task.jl            694 task_done_hook(t::Task)
     2         0 @Base/task.jl           1021 wait()
     2         1 @Base/task.jl           1012 poptask(W::Base.IntrusiveLinkedLi…
     2         0 …ler/ssair/inlining.jl   450 ir_inline_item!(compact::Core.Com…
     2         0 …ler/ssair/inlining.jl  1874 ssa_substitute_op!(insert_node!::…
     2         0 …/compiler/ssair/ir.jl   557 setindex!
     2         0 …ractinterpretation.jl  1267 const_prop_call(interp::Core.Comp…
     2         0 …ase/compiler/types.jl   101 InferenceResult
     2         0 …/compiler/ssair/ir.jl  1357 process_node!(compact::Core.Compi…
     2         0 …piler/ssair/passes.jl   355 already_inserted_ssa
     2         2 @Base/boot.jl            435 Box
     2         2 …/compiler/ssair/ir.jl   734 getindex(compact::Core.Compiler.I…
     2         0 …ler/ssair/inlining.jl  1327 handle_any_const_result!(cases::V…
     2         0 …ler/ssair/inlining.jl  1428 handle_match!
     2         0 …ler/ssair/inlining.jl  1439 handle_match!(cases::Vector{Core.…
     2         0 …ler/ssair/inlining.jl   947 analyze_method!
     2         0 …ler/ssair/inlining.jl   980 analyze_method!(match::Core.Metho…
     2         0 …ler/ssair/inlining.jl   904 resolve_todo(mi::Core.MethodInsta…
     2         0 …ler/ssair/inlining.jl   984 retrieve_ir_for_inlining(mi::Core…
     2         2 …/compiler/optimize.jl   425 argextype(x::Any, src::Core.Compi…
     2         0 …/compiler/ssair/ir.jl   578 iterate
     2         0 …compiler/typeinfer.jl   913 typeinf_edge(interp::Core.Compile…
     2         0 …ler/inferencestate.jl   497 Core.Compiler.InferenceState(resu…
     2         0 …compiler/utilities.jl   143 retrieve_code_info
     2         0 …aturalfPEPS/src/Ok.jl    45 get_Ok(peps::PEPS, env_top::Vecto…
     2         2 …aturalfPEPS/src/Ok.jl    21 get_Ok(peps::PEPS, env_top::Vecto…
     2         0 …piler/ssair/passes.jl  1417 sroa_pass!(ir::Core.Compiler.IRCo…
     2         0 …piler/ssair/passes.jl   760 perform_lifting!
     2         0 …piler/ssair/passes.jl   797 perform_lifting!(compact::Core.Co…
     2         0 …ler/inferencestate.jl   191 get!
     2         0 …ler/ssair/inlining.jl   348 ir_inline_linetable!(linetable::V…
     2         0 …ons/tensor_algebra.jl    61 *
     2         0 …uralfPEPS/src/PEPS.jl   325 get_projected
     2         0 @Base/generator.jl        48 iterate
     2         0 none                       ? #31
     2         0 …uralfPEPS/src/PEPS.jl   330 get_projected(peps::PEPS, Sij::In…
     2         0 …uralfPEPS/src/PEPS.jl   287 siteind(peps::PEPS, i::Int64, j::…
     2         0 …ensors/src/itensor.jl  1360 uniqueind
     2         0 …ensors/src/itensor.jl  1360 uniqueind(::ITensor, ::Vararg{ITe…
     2         0 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     2         0 …ensors/src/itensor.jl  1354 uniqueinds(::ITensor, ::Vararg{An…
     2         0 …ensors/src/itensor.jl  1343 filter_inds_set_function(::Functi…
     2         1 …ensors/src/itensor.jl  1344 filter_inds_set_function(::Functi…
     2         0 …tures/src/delegate.jl    37 setindex!(::DataStructures.Defaul…
     2         0 …tures/src/delegate.jl    37 setindex!
     2         0 …s/src/ordered_dict.jl   334 setindex!
     2         0 …_tensor_operations.jl   113 contract(tensor1::NDTensors.Dense…
     2         0 …ITensorMPS/src/mpo.jl   614 contract
     2         0 …ITensorMPS/src/mpo.jl   762 contract(::NDTensors.BackendSelec…
     2         0 …ITensorMPS/src/mpo.jl   629 #contract#457
     2         0 …/compiler/ssair/ir.jl  1249 renumber_ssa2!(stmt::Any, ssanums…
     2         0 …ler/ssair/inlining.jl   720 batch_inline!(ir::Core.Compiler.I…
     2         0 …/compiler/ssair/ir.jl  1812 iterate_compact(compact::Core.Com…
     2         0 …/compiler/ssair/ir.jl  1607 finish_current_bb!
     2         2 @Base/array.jl             ? finish_current_bb!(compact::Core.…
     2         0 …/compiler/optimize.jl   448 argextype(x::Any, src::Core.Compi…
     2         0 …ler/ssair/inlining.jl  1268 process_simple!(todo::Vector{Pair…
     2         0 …/compiler/optimize.jl   418 argextype
     2         0 …s_and_Eks_threaded.jl    18 (::QuantumNaturalfPEPS.var"#Oks_a…
     2         0 …fPEPS/src/sampling.jl    40 update_double_layer_envs!
     2         0 …ons/tensor_algebra.jl   178 #*#219
     2         0 …ons/tensor_algebra.jl   168 contract
     2         0 …ons/tensor_algebra.jl   168 #contract#217
     2         0 …ons/tensor_algebra.jl   154 contract
     2         0 …ons/tensor_algebra.jl   158 contract(As::Tuple{ITensor, ITens…
     2         0 @Base/reduce.jl          198 foldl
     2         0 @Base/reduce.jl          198 #foldl#336
     2         0 @Base/reduce.jl          175 mapfoldl
     2         0 @Base/reduce.jl          175 #mapfoldl#335
     2         0 @Base/reduce.jl           44 mapfoldl_impl
     2         0 @Base/reduce.jl           48 foldl_impl
     2         0 @Base/reduce.jl           68 _foldl_impl
     2         0 @Base/reduce.jl           86 BottomRF
     2         0 …ons/tensor_algebra.jl   158 #213
     2         1 …/compiler/ssair/ir.jl   562 userefs
