 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     2         0 …hreadingconstructs.jl   154 (::Base.Threads.var"#1#2"{Quantum…
     2         0 …hreadingconstructs.jl   220 #46549#threadsfor_fun
     2         0 …hreadingconstructs.jl   253 (::QuantumNaturalfPEPS.var"#46549…
     2         0 …s_and_Eks_threaded.jl    66 macro expansion
     2         0 …PEPS/src/Ok_and_Ek.jl     3 kwcall(::@NamedTuple{Ok::SubArray…
     2         0 …ons/tensor_algebra.jl    74 contract(A::ITensor, B::ITensor)
     2         0 …ons/tensor_algebra.jl     9 _contract(A::ITensor, B::ITensor)
     2         0 …ons/tensor_algebra.jl     3 _contract(A::NDTensors.DenseTenso…
     2         0 …s/src/SimpleTraits.jl   332 contract
     2         0 …_tensor_operations.jl    91 contract(::Type{NDTensors.CanCont…
     2         0 …_tensor_operations.jl   113 contract(tensor1::NDTensors.Dense…
Total snapshots: 10. Utilization: 50% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
