 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     2         0 …ITensorMPS/src/mpo.jl   629 #contract#457
     2         0 …ITensorMPS/src/mpo.jl   691 contract
     2         0 …ITensorMPS/src/mpo.jl   742 contract(::NDTensors.BackendSelec…
     2         0 …trix_decomposition.jl   291 kwcall(::@NamedTuple{ishermitian:…
     2         0 …trix_decomposition.jl   385 eigen(A::ITensor, Linds::Vector{I…
     2         0 …ensors/src/itensor.jl  1360 commonind
     2         0 …ensors/src/itensor.jl  1360 commonind(::ITensor, ::Vararg{Any…
     2         0 …ensors/src/itensor.jl  1354 commoninds(::ITensor, ::Vararg{An…
     2         0 …ensors/src/itensor.jl  1354 commoninds(::ITensor, ::Vararg{An…
     2         0 …ensors/src/itensor.jl  1344 #filter_inds_set_function#138
     3         0 …hreadingconstructs.jl   154 (::Base.Threads.var"#1#2"{Quantum…
     3         0 …hreadingconstructs.jl   220 #46549#threadsfor_fun
     3         0 …hreadingconstructs.jl   253 (::QuantumNaturalfPEPS.var"#46549…
     3         0 …s_and_Eks_threaded.jl    66 macro expansion
     3         0 …PEPS/src/Ok_and_Ek.jl     3 kwcall(::@NamedTuple{Ok::SubArray…
     3         0 …ensors/src/itensor.jl  1343 filter_inds_set_function(::Functi…
     3         2 …ensors/src/itensor.jl  1340 filter_inds_set_function(::Functi…
Total snapshots: 15. Utilization: 53% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
