 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     2         0 …nericEksAndOks/Eks.jl   280 increase_dim!(sum_precompute::Dat…
     2         0 @Base/abstractdict.jl    197 copy
     2         0 @Base/abstractdict.jl    229 merge!(d::DataStructures.DefaultO…
     2         0 …tures/src/delegate.jl    21 iterate
     2         0 …s/src/ordered_dict.jl   455 iterate(t::OrderedCollections.Ord…
     2         0 …s/src/ordered_dict.jl   126 rehash!
     2         2 …s/src/ordered_dict.jl   157 rehash!(h::OrderedCollections.Ord…
     2         0 …PEPS/src/Ok_and_Ek.jl     7 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     2         0 …fPEPS/src/sampling.jl   127 get_sample
     2         0 …ITensorMPS/src/mpo.jl   691 contract
     3         0 …PEPS/src/Ok_and_Ek.jl    20 Ok_and_Ek(peps::PEPS, ham_op::Qua…
     3         0 …nericEksAndOks/Eks.jl   139 kwcall(::@NamedTuple{get_flip_sit…
     3         0 …nericEksAndOks/Eks.jl   171 get_precomp_sOψ_elems(tso::Quantu…
     6         0 …hreadingconstructs.jl   154 (::Base.Threads.var"#1#2"{Quantum…
     6         0 …hreadingconstructs.jl   220 #46549#threadsfor_fun
     6         0 …hreadingconstructs.jl   253 (::QuantumNaturalfPEPS.var"#46549…
     6         0 …s_and_Eks_threaded.jl    66 macro expansion
     6         0 …PEPS/src/Ok_and_Ek.jl     3 kwcall(::@NamedTuple{Ok::SubArray…
Total snapshots: 30. Utilization: 67% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
