encoded_state,basis_state,psi,psi_squared,sampling_weight_percent
0,0000,-1.4988868993279303e-05,2.2466619369768973e-10,0.008108081634613901
1,0001,9.0105906654556843e-05,8.1190744140397104e-09,0.29301301216292397
2,0010,0.00019786794726199251,3.915172455367465e-08,1.4129646013599413
3,0011,0.00054348250260755451,2.9537323064057051e-07,10.659860423575656
4,0100,-0.00010270317204670216,1.0547941548454504e-08,0.38066951571309915
5,0101,-5.9740708537783757e-05,3.5689522565964292e-09,0.12880156008456428
6,0110,-0.0012107091234602365,1.4658165816298542e-06,52.900529045406451
7,0111,0.00028576898229270621,8.166391124060903e-08,2.9472064668157976
8,1000,8.4152989167251625e-05,7.0817255857835689e-09,0.25557565300959456
9,1001,0.00039239617618698128,1.5397475908616445e-07,5.5568659253671573
10,1010,-0.00043857367094524309,1.9234686484638637e-07,6.9416945053829187
11,1011,-0.00019488908994535456,3.7981757379728497e-08,1.370741117710512
12,1100,6.6254005581725626e-05,4.3895932556233303e-09,0.15841805068027265
13,1101,-0.0004756574945797239,2.2625005214986007e-07,8.165242231037011
14,1110,0.00030467941529589059,9.2829546105045769e-08,3.3501682008137643
15,1111,0.00038932213122245656,1.5157172185959569e-07,5.4701416092457329
